Rank,Predicted_Score,Actual_Quality_Score,Video_Title,Duration_Minutes,Like_Rate,Is_Clickbait
1,94.1,95,Understanding Memory Management in C++ — Deep Dive,71,0.0716,0
2,94.1,95,Understanding Memory Management in C++ — Deep Dive,71,0.0716,0
3,94.1,95,Understanding Memory Management in C++ — Deep Dive,71,0.0716,0
4,94.1,95,Understanding Memory Management in C++ — Deep Dive,71,0.0716,0
5,93.3,94,Clean Code Principles with Real Examples,50,0.0836,0
6,93.3,94,Clean Code Principles with Real Examples,50,0.0836,0
7,93.3,94,Clean Code Principles with Real Examples,50,0.0836,0
8,93.3,94,Clean Code Principles with Real Examples,50,0.0836,0
9,93.2,94,"React Hooks Explained — useState, useEffect, useContext",25,0.1375,0
10,93.2,94,"React Hooks Explained — useState, useEffect, useContext",25,0.1375,0
